L1_Dcache,L2_Dcache,N,cycle,insts,CPI,L1_Dread access,L1_Dread miss,L1_Dread miss_rate,L1_Dwrite access,L1_Dwrite miss,L1_Dwrite miss_rate
32K,512K,1,7478,1996,3.7465,385,384,0.9974025974025974,390,386,0.9897435897435898
32K,512K,2,13845,5502,2.5164,768,767,0.9986979166666666,774,770,0.9948320413436692
32K,512K,3,20136,8238,2.4443,1152,1151,0.9991319444444444,1158,1154,0.9965457685664939
32K,512K,4,26466,10974,2.4117,1536,1535,0.9993489583333334,1542,1538,0.9974059662775616
32K,1M,1,7478,1996,3.7465,385,384,0.9974025974025974,390,386,0.9897435897435898
32K,1M,2,13845,5502,2.5164,768,767,0.9986979166666666,774,770,0.9948320413436692
32K,1M,3,20136,8238,2.4443,1152,1151,0.9991319444444444,1158,1154,0.9965457685664939
32K,1M,4,26466,10974,2.4117,1536,1535,0.9993489583333334,1542,1538,0.9974059662775616
64K,512K,1,7331,1996,3.6728,385,383,0.9948051948051948,390,384,0.9846153846153847
64K,512K,2,12608,5502,2.2915,768,383,0.4986979166666667,774,384,0.49612403100775193
64K,512K,3,17984,8238,2.1831,1152,383,0.3324652777777778,1158,384,0.3316062176165803
64K,512K,4,23360,10974,2.1287,1536,383,0.24934895833333334,1542,384,0.2490272373540856
64K,1M,1,7331,1996,3.6728,385,383,0.9948051948051948,390,384,0.9846153846153847
64K,1M,2,12608,5502,2.2915,768,383,0.4986979166666667,774,384,0.49612403100775193
64K,1M,3,17984,8238,2.1831,1152,383,0.3324652777777778,1158,384,0.3316062176165803
64K,1M,4,23360,10974,2.1287,1536,383,0.24934895833333334,1542,384,0.2490272373540856
