L1_Dcache,L2_Dcache,N,cycle,insts,CPI,L1_Dread access,L1_Dread miss,L1_Dread miss_rate,L2_Dread access,L2_Dread miss,L2_Dread miss_rate
32K,512K,1,484115,153635,3.1511,49156,49155,0.9999796566034665,49168,49162,0.999877969410999
32K,512K,2,975647,405541,2.4058,98304,98303,0.9999898274739584,98321,98310,0.9998881215610094
32K,1M,1,476012,153635,3.0983,49152,49151,0.9999796549479166,49164,49152,0.9997559189650964
32K,1M,2,981420,405541,2.4200,98304,98303,0.9999898274739584,98321,98304,0.9998270969579235
32K,2M,1,459621,153635,2.9916,49156,49155,0.9999796566034665,49168,49156,0.9997559388219981
32K,2M,2,951215,405541,2.3455,98304,98303,0.9999898274739584,98321,98304,0.9998270969579235
32K,4M,1,442891,153635,2.8827,49152,49151,0.9999796549479166,49164,49148,0.9996745586201286
32K,4M,2,793160,405541,1.9558,98304,98303,0.9999898274739584,98321,49148,0.4998728654102379
64K,512K,1,484115,153635,3.1511,49156,49155,0.9999796566034665,49168,49162,0.999877969410999
64K,512K,2,975647,405541,2.4058,98304,98303,0.9999898274739584,98321,98310,0.9998881215610094
64K,1M,1,476012,153635,3.0983,49152,49151,0.9999796549479166,49164,49152,0.9997559189650964
64K,1M,2,981420,405541,2.4200,98304,98303,0.9999898274739584,98321,98304,0.9998270969579235
64K,2M,1,459621,153635,2.9916,49156,49155,0.9999796566034665,49168,49156,0.9997559388219981
64K,2M,2,951215,405541,2.3455,98304,98303,0.9999898274739584,98321,98304,0.9998270969579235
64K,4M,1,442891,153635,2.8827,49152,49151,0.9999796549479166,49164,49148,0.9996745586201286
64K,4M,2,793160,405541,1.9558,98304,98303,0.9999898274739584,98321,49148,0.4998728654102379
