L1_Dcache,L2_Dcache,N,cycle,insts,CPI,L1_Dread access,L1_Dread miss,L1_Dread miss_rate,L1_Dwrite access,L1_Dwrite miss,L1_Dwrite miss_rate
32K,512K,1,2658,684,3.8860,129,127,0.9844961240310077,134,128,0.9552238805970149
32K,512K,2,4423,1854,2.3857,256,127,0.49609375,262,128,0.48854961832061067
32K,512K,3,6215,2766,2.2469,384,127,0.3307291666666667,390,128,0.3282051282051282
32K,512K,4,8007,3678,2.1770,512,127,0.248046875,518,128,0.2471042471042471
32K,1M,1,2658,684,3.8860,129,127,0.9844961240310077,134,128,0.9552238805970149
32K,1M,2,4423,1854,2.3857,256,127,0.49609375,262,128,0.48854961832061067
32K,1M,3,6215,2766,2.2469,384,127,0.3307291666666667,390,128,0.3282051282051282
32K,1M,4,8007,3678,2.1770,512,127,0.248046875,518,128,0.2471042471042471
64K,512K,1,2658,684,3.8860,129,127,0.9844961240310077,134,128,0.9552238805970149
64K,512K,2,4423,1854,2.3857,256,127,0.49609375,262,128,0.48854961832061067
64K,512K,3,6215,2766,2.2469,384,127,0.3307291666666667,390,128,0.3282051282051282
64K,512K,4,8007,3678,2.1770,512,127,0.248046875,518,128,0.2471042471042471
64K,1M,1,2658,684,3.8860,129,127,0.9844961240310077,134,128,0.9552238805970149
64K,1M,2,4423,1854,2.3857,256,127,0.49609375,262,128,0.48854961832061067
64K,1M,3,6215,2766,2.2469,384,127,0.3307291666666667,390,128,0.3282051282051282
64K,1M,4,8007,3678,2.1770,512,127,0.248046875,518,128,0.2471042471042471
