L1_Dcache,L2_Dcache,N,cycle,insts,CPI,L1_Dread access,L1_Dread miss,L1_Dread miss_rate,L2_Dread access,L2_Dread miss,L2_Dread miss_rate
32K,512K,1,115475,38435,3.0044,12292,12291,0.9999186462739994,12304,12295,0.9992685305591678
32K,512K,2,243431,101413,2.4004,24576,24575,0.9999593098958334,24593,24579,0.9994307323222055
32K,1M,1,111115,38435,2.8910,12288,12287,0.9999186197916666,12300,12284,0.9986991869918699
32K,1M,2,198677,101413,1.9591,24576,24575,0.9999593098958334,24593,12284,0.4994917252876835
32K,2M,1,111115,38435,2.8910,12288,12287,0.9999186197916666,12300,12284,0.9986991869918699
32K,2M,2,198677,101413,1.9591,24576,24575,0.9999593098958334,24593,12284,0.4994917252876835
32K,4M,1,111115,38435,2.8910,12288,12287,0.9999186197916666,12300,12284,0.9986991869918699
32K,4M,2,198677,101413,1.9591,24576,24575,0.9999593098958334,24593,12284,0.4994917252876835
64K,512K,1,115475,38435,3.0044,12292,12291,0.9999186462739994,12304,12295,0.9992685305591678
64K,512K,2,243431,101413,2.4004,24576,24575,0.9999593098958334,24593,24579,0.9994307323222055
64K,1M,1,111115,38435,2.8910,12288,12287,0.9999186197916666,12300,12284,0.9986991869918699
64K,1M,2,198677,101413,1.9591,24576,24575,0.9999593098958334,24593,12284,0.4994917252876835
64K,2M,1,111115,38435,2.8910,12288,12287,0.9999186197916666,12300,12284,0.9986991869918699
64K,2M,2,198677,101413,1.9591,24576,24575,0.9999593098958334,24593,12284,0.4994917252876835
64K,4M,1,111115,38435,2.8910,12288,12287,0.9999186197916666,12300,12284,0.9986991869918699
64K,4M,2,198677,101413,1.9591,24576,24575,0.9999593098958334,24593,12284,0.4994917252876835
